# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC155,Nyandeni,18-19,female,3069,True
Eastern Cape,EC155,Nyandeni,20-29,male,15277,True
Eastern Cape,EC155,Nyandeni,20-29,female,16270,True
Eastern Cape,EC155,Nyandeni,30-39,male,16831,False
Eastern Cape,EC155,Nyandeni,30-39,female,19560,False
Eastern Cape,EC155,Nyandeni,40-49,male,12208,False
Eastern Cape,EC155,Nyandeni,40-49,female,16682,False
Eastern Cape,EC155,Nyandeni,50-59,male,7363,False
Eastern Cape,EC155,Nyandeni,50-59,female,12704,False
Eastern Cape,EC155,Nyandeni,60-69,male,6066,False
Eastern Cape,EC155,Nyandeni,60-69,female,9759,False
Eastern Cape,EC155,Nyandeni,70-79,male,2988,False
Eastern Cape,EC155,Nyandeni,70-79,female,5581,False
Eastern Cape,EC155,Nyandeni,80+,male,2013,False
Eastern Cape,EC155,Nyandeni,80+,female,4623,False
Eastern Cape,EC156,Kumkani Mhlontlo,18-19,male,1842,True
Eastern Cape,EC156,Kumkani Mhlontlo,18-19,female,1941,True
Eastern Cape,EC156,Kumkani Mhlontlo,20-29,male,9254,True
Eastern Cape,EC156,Kumkani Mhlontlo,20-29,female,8935,True
